DATE,CSCICP03USM665S
2001-11-01,99.7646992162575
2001-12-01,100.162656285307
2002-01-01,100.54748374278
2002-02-01,100.778025278491
2002-03-01,100.986481438571
2002-04-01,101.045200847282
2002-05-01,101.016196313176
2002-06-01,100.737120396615
2002-07-01,100.36348831154
2002-08-01,100.055578802422
2002-09-01,99.786210080376
2002-10-01,99.5828521056533
2002-11-01,99.5996036298201
2002-12-01,99.5967806776219
2003-01-01,99.3979050545053
2003-02-01,99.2215134319327
2003-03-01,99.3141768215383
2003-04-01,99.7979060645834
2003-05-01,100.274821199884
2003-06-01,100.448815628037
2003-07-01,100.451367140927
2003-08-01,100.35171680578
2003-09-01,100.312230796168
2003-10-01,100.477499601963
2003-11-01,100.803272913754
2003-12-01,101.14122027822
2004-01-01,101.45269504465
2004-02-01,101.326033101911
2004-03-01,101.138935988372
2004-04-01,100.948144974132
2004-05-01,100.860770409102
2004-06-01,101.014531612049
2004-07-01,101.138753622637
2004-08-01,101.111216046017
2004-09-01,100.978684940811
2004-10-01,100.879174833128
2004-11-01,100.950769251256
2004-12-01,101.102144700228
2005-01-01,101.085730142264
2005-02-01,100.912187696759
2005-03-01,100.656276073054
2005-04-01,100.446160781395
2005-05-01,100.521934076766
2005-06-01,100.800917429644
2005-07-01,100.696612668024
2005-08-01,100.037228149092
2005-09-01,99.235780747465
2005-10-01,98.9756814200996
2005-11-01,99.4067302783064
2005-12-01,100.04991089135
2006-01-01,100.340140382268
2006-02-01,100.285873901971
2006-03-01,100.139396802349
2006-04-01,99.8589160769619
2006-05-01,99.544545257799
2006-06-01,99.521393460799
2006-07-01,99.5617022430645
2006-08-01,99.6712452286928
2006-09-01,100.022700435861
2006-10-01,100.490802267432
2006-11-01,100.748307444824
2006-12-01,100.876967693066
2007-01-01,100.912632883531
2007-02-01,100.663953004398
2007-03-01,100.361004127072
2007-04-01,100.167039347131
2007-05-01,100.09981374724
2007-06-01,100.054476387868
2007-07-01,100.028709251077
2007-08-01,99.773281240157
2007-09-01,99.4889470279675
2007-10-01,99.160713895137
2007-11-01,98.8421759422495
2007-12-01,98.654761089559
2008-01-01,98.4746156542921
2008-02-01,98.0410625313912
2008-03-01,97.518370543196
2008-04-01,96.9291897176698
2008-05-01,96.5061704873737
2008-06-01,96.3731427875903
2008-07-01,96.5996708175287
2008-08-01,96.886659599069
2008-09-01,96.9714803224085
2008-10-01,96.5778515803652
2008-11-01,96.2916581537401
2008-12-01,96.283330197126
2009-01-01,96.2913694230659
2009-02-01,96.2623304342507
2009-03-01,96.4875353961514
2009-04-01,96.9873002049246
2009-05-01,97.4173239787591
2009-06-01,97.5953609844273
2009-07-01,97.5449368951386
2009-08-01,97.5936601366899
2009-09-01,97.7919926011696
2009-10-01,97.8250480694322
2009-11-01,97.8406964819433
2009-12-01,98.0348845561018
2010-01-01,98.2148851233386
2010-02-01,98.276240766517
2010-03-01,98.2727927138645
2010-04-01,98.2500496331971
2010-05-01,98.2486356845718
2010-06-01,98.1428013664084
2010-07-01,97.8260696986606
2010-08-01,97.632897228771
2010-09-01,97.5763311827961
2010-10-01,97.6859358338674
2010-11-01,97.972242430893
2010-12-01,98.2513473208633
2011-01-01,98.3718237194875
2011-02-01,98.3172407356394
2011-03-01,98.0462086367585
2011-04-01,97.9812235284129
2011-05-01,97.9637549207123
2011-06-01,97.6218980791218
2011-07-01,96.9800176717718
2011-08-01,96.4321401419587
2011-09-01,96.3573973801694
2011-10-01,96.6151486279207
2011-11-01,97.1066227165617
2011-12-01,97.7145584993925
2012-01-01,98.2328330134128
2012-02-01,98.5217735253222
2012-03-01,98.6610147290587
2012-04-01,98.7000365698628
2012-05-01,98.6373580484633
2012-06-01,98.4078342709229
2012-07-01,98.3269588844526
2012-08-01,98.5176616901476
2012-09-01,98.872749021535
2012-10-01,99.1273898453727
2012-11-01,99.0304062432484
2012-12-01,98.6554887367039
2013-01-01,98.5113393346831
2013-02-01,98.6269633982591
2013-03-01,98.8142540505764
2013-04-01,99.0524270356134
2013-05-01,99.4323245191109
2013-06-01,99.6287343063928
2013-07-01,99.5864074301676
2013-08-01,99.2710105819469
2013-09-01,98.8430474415183
2013-10-01,98.5784721654251
2013-11-01,98.6913180424602
2013-12-01,99.0324166207983
2014-01-01,99.2265812921296
2014-02-01,99.3053076673473
2014-03-01,99.3415361159961
2014-04-01,99.4235631723529
2014-05-01,99.4082619615829
2014-06-01,99.3785924016951
2014-07-01,99.369394617169
2014-08-01,99.4760151707907
2014-09-01,99.7055915042825
2014-10-01,100.028344728578
2014-11-01,100.424351642148
2014-12-01,100.863458749172
2015-01-01,101.159304807139
2015-02-01,101.161867095404
2015-03-01,101.053790396838
2015-04-01,100.992519685789
2015-05-01,100.90255013886
2015-06-01,100.918321760374
2015-07-01,100.789897772421
2015-08-01,100.577803040872
2015-09-01,100.386664703595
2015-10-01,100.419393558106
2015-11-01,100.54982846859
2015-12-01,100.658471980476
2016-01-01,100.673128199177
2016-02-01,100.631332067422
2016-03-01,100.586736474609
2016-04-01,100.611430052587
2016-05-01,100.748416651195
2016-06-01,100.723732853787
2016-07-01,100.559549762138
2016-08-01,100.44094344995
2016-09-01,100.419497468139
2016-10-01,100.505590266375
2016-11-01,100.874073409437
2016-12-01,101.251800965992
2017-01-01,101.417669756957
2017-02-01,101.403907393237
2017-03-01,101.369681820724
2017-04-01,101.325355886885
2017-05-01,101.245669585215
2017-06-01,101.127225434405
2017-07-01,101.081334225336
2017-08-01,101.189270265395
2017-09-01,101.324452017023
2017-10-01,101.491927198696
2017-11-01,101.46948046278
2017-12-01,101.377087152035
2018-01-01,101.409852238395
2018-02-01,101.588258055263
