DATE,LFWA64TTUSM647S
2005-08-01,191164880.670369
2005-09-01,191492124.926235
2005-10-01,191701434.280809
2005-11-01,192006589.25821698
2005-12-01,192195500.91459298
2006-01-01,192317221.879506
2006-02-01,192522141.23505
2006-03-01,192600843.279477
2006-04-01,192802690.16714498
2006-05-01,192953881.887359
2006-06-01,193191128.072341
2006-07-01,193435852.60968202
2006-08-01,193520654.981715
2006-09-01,193602129.488926
2006-10-01,193704990.631505
2006-11-01,193904741.05344
2006-12-01,194085522.13922998
2007-01-01,194799596.77479398
2007-02-01,195040435.51269603
2007-03-01,195138831.508129
2007-04-01,195262525.24600202
2007-05-01,195410641.215318
2007-06-01,195681184.25568002
2007-07-01,195852112.535709
2007-08-01,195985229.057325
2007-09-01,196066906.02731
2007-10-01,196120587.01444498
2007-11-01,196152170.729051
2007-12-01,196412756.694188
2008-01-01,196032382.302411
2008-02-01,196230973.457296
2008-03-01,196360006.536486
2008-04-01,196214346.41166
2008-05-01,196434139.041366
2008-06-01,196493972.132453
2008-07-01,196537781.517048
2008-08-01,196647306.053685
2008-09-01,196797051.605657
2008-10-01,196918180.26403898
2008-11-01,197115365.83060703
2008-12-01,197383969.371887
2009-01-01,197105232.850422
2009-02-01,197310846.903086
2009-03-01,197598915.21706602
2009-04-01,197879687.07906002
2009-05-01,198006063.434089
2009-06-01,197631872.675949
2009-07-01,197728512.93308702
2009-08-01,198073362.409083
2009-09-01,198394511.701175
2009-10-01,198696644.236093
2009-11-01,198754928.439135
2009-12-01,198803063.494116
2010-01-01,198302153.248385
2010-02-01,198456042.981195
2010-03-01,198660605.153591
2010-04-01,198992117.39824298
2010-05-01,199073278.40494302
2010-06-01,198914940.862807
2010-07-01,198999616.98311502
2010-08-01,199204099.459786
2010-09-01,199524882.939711
2010-10-01,199853454.29218498
2010-11-01,199992326.649348
2010-12-01,199999909.890543
2011-01-01,199168077.239387
2011-02-01,199359811.583027
2011-03-01,199543888.657397
2011-04-01,199946930.437399
2011-05-01,200052252.27802598
2011-06-01,200016534.62502798
2011-07-01,200139998.039973
2011-08-01,200149441.916933
2011-09-01,200259665.639294
2011-10-01,200419039.98272198
2011-11-01,200304425.494457
2011-12-01,200298180.87829202
2012-01-01,200963648.87618202
2012-02-01,201093761.51110798
2012-03-01,201255442.973133
2012-04-01,201506118.492648
2012-05-01,201524500.254427
2012-06-01,201490722.018854
2012-07-01,201505939.16131
2012-08-01,201577971.869903
2012-09-01,201618484.500931
2012-10-01,201653506.740862
2012-11-01,201702053.404694
2012-12-01,201800781.09599802
2013-01-01,201731132.193313
2013-02-01,201885764.019474
2013-03-01,202021604.53619298
2013-04-01,202163176.155619
2013-05-01,202294433.095902
2013-06-01,202315928.00358602
2013-07-01,202325227.033722
2013-08-01,202519571.263743
2013-09-01,202633423.707968
2013-10-01,202730674.383652
2013-11-01,202710816.091096
2013-12-01,202762403.57024902
2014-01-01,202535507.124875
2014-02-01,202715775.312768
2014-03-01,202700068.87978002
2014-04-01,202826802.348701
2014-05-01,202926990.108734
2014-06-01,203071626.507329
2014-07-01,203054644.696833
2014-08-01,203146231.564532
2014-09-01,203209427.03973198
2014-10-01,203242456.153534
2014-11-01,203372816.993289
2014-12-01,203365659.291367
2015-01-01,203877104.501457
2015-02-01,203929251.52534598
2015-03-01,203960634.895178
2015-04-01,203977226.54280502
2015-05-01,204234626.207138
2015-06-01,204433297.27438
2015-07-01,204549076.51319098
2015-08-01,204570878.39688402
2015-09-01,204642750.798228
2015-10-01,204688472.831559
2015-11-01,204735031.336129
2015-12-01,204708605.437927
2016-01-01,205095554.879379
